id,Analytical thinking,Systemic thinking,Adaptability,Focus
10199,5.0,4.0,4.0,4.0
10539,5.0,4.0,4.0,4.0
10174,5.0,4.0,4.0,4.0
10465,5.0,4.0,4.0,4.0
10066,5.0,4.0,4.0,4.0
10425,5.0,4.0,4.0,4.0
10398,5.0,4.0,4.0,4.0
10346,5.0,4.0,4.0,4.0
10281,5.0,4.0,4.0,4.0
10158,5.0,4.0,4.0,4.0
10877,5.0,4.0,4.0,4.0
10067,5.0,4.0,4.0,4.0
10235,5.0,4.0,4.0,4.0
10767,5.0,4.0,4.0,4.0
10483,5.0,4.0,4.0,4.0
10679,5.0,4.0,4.0,4.0
10076,5.0,4.0,4.0,4.0
10800,5.0,4.0,4.0,4.0
10855,5.0,4.0,4.0,4.0
10706,5.0,4.0,4.0,4.0
10088,5.0,4.0,4.0,4.0
10096,5.0,4.0,4.0,4.0
10643,5.0,4.0,4.0,4.0
10305,5.0,4.0,4.0,4.0
10275,5.0,4.0,4.0,4.0
10759,5.0,4.0,4.0,4.0
10355,5.0,4.0,4.0,4.0
10844,5.0,4.0,4.0,4.0
10693,5.0,4.0,4.0,4.0
10882,5.0,4.0,4.0,4.0
10023,5.0,4.0,4.0,4.0
10030,5.0,4.0,4.0,4.0
10677,5.0,4.0,4.0,4.0
10923,5.0,4.0,4.0,4.0
10405,5.0,4.0,4.0,4.0
10531,5.0,4.0,4.0,4.0
10959,5.0,4.0,4.0,4.0
10294,5.0,4.0,4.0,4.0
10829,5.0,4.0,4.0,4.0
10850,5.0,4.0,4.0,4.0
10259,5.0,4.0,4.0,4.0
10874,5.0,4.0,4.0,4.0
10328,5.0,4.0,4.0,4.0
10333,5.0,4.0,4.0,4.0
10634,5.0,4.0,4.0,4.0
10774,5.0,4.0,4.0,4.0
10754,5.0,4.0,4.0,4.0
10120,5.0,4.0,4.0,4.0
10790,5.0,4.0,4.0,4.0
10323,5.0,4.0,4.0,4.0
10728,5.0,4.0,4.0,4.0
10842,5.0,4.0,4.0,4.0
10039,5.0,4.0,4.0,4.0
10789,5.0,4.0,4.0,4.0
10952,5.0,4.0,4.0,4.0
10310,5.0,4.0,4.0,4.0
