id,Analytical thinking,Systemic thinking,Adaptability,Focus,period_1,period_2,period_3,period_4
10199,0,0,0,0,2.0,2.0,3.0,2.0
10539,0,0,0,0,1.0,9.0,15.0,17.0
10174,0,0,0,0,12.516806722689076,28.0,31.0,20.0
10465,0,0,0,0,15.0,18.0,32.0,18.0
10066,0,0,0,0,8.0,23.0,16.0,6.0
10425,0,0,0,0,2.0,16.694117647058825,7.0,4.0
10398,0,0,0,0,2.0,44.0,40.0,30.0
10346,0,0,0,0,16.0,19.0,24.0,4.0
10281,0,0,0,0,2.0,6.0,12.0,9.0
10158,0,0,0,0,3.0,6.0,1.0,7.0
10877,0,0,0,0,12.516806722689076,6.0,14.0,4.0
10067,0,0,0,0,14.0,22.0,23.0,6.0
10235,0,0,0,0,12.516806722689076,1.0,23.0,2.0
10767,0,0,0,0,16.0,12.0,20.0,1.0
10483,0,0,0,0,28.0,4.0,1.0,1.0
10679,0,0,0,0,22.0,25.0,6.0,9.0
10076,0,0,0,0,12.516806722689076,15.0,37.0,11.0
10800,0,0,0,0,12.516806722689076,9.0,22.843866171003718,17.05426356589147
10855,0,0,0,0,52.0,64.0,62.0,110.0
10706,0,0,0,0,29.0,49.0,55.0,79.0
10088,0,0,0,0,30.0,61.0,118.0,49.0
10096,0,0,0,0,7.0,21.0,35.0,45.0
10643,0,0,0,0,20.0,7.0,3.0,18.0
10305,0,0,0,0,2.0,4.0,9.0,13.0
10275,0,0,0,0,24.0,5.0,5.0,6.0
10759,0,0,0,0,10.0,26.0,27.0,23.0
10355,0,0,0,0,15.0,21.0,1.0,7.0
10844,0,0,0,0,10.0,3.0,17.0,10.0
10693,0,0,0,0,2.0,16.694117647058825,22.843866171003718,17.05426356589147
10882,0,0,0,0,2.0,1.0,5.0,3.0
10023,0,0,0,0,15.0,9.0,22.843866171003718,3.0
10030,0,0,0,0,8.0,12.0,11.0,19.0
10677,0,0,0,0,12.516806722689076,16.694117647058825,7.0,1.0
10923,0,0,0,0,6.0,12.0,15.0,9.0
10405,0,0,0,0,18.0,44.0,36.0,25.0
10531,0,0,0,0,4.0,30.0,30.0,5.0
10959,0,0,0,0,12.516806722689076,16.694117647058825,22.843866171003718,2.0
10294,0,0,0,0,2.0,18.0,18.0,8.0
10829,0,0,0,0,23.0,40.0,37.0,59.0
10850,0,0,0,0,12.0,32.0,53.0,42.0
10259,0,0,0,0,41.0,41.0,40.0,11.0
10874,0,0,0,0,12.516806722689076,11.0,7.0,7.0
10328,0,0,0,0,4.0,8.0,26.0,10.0
10333,0,0,0,0,77.0,122.0,103.0,126.0
10634,0,0,0,0,34.0,23.0,46.0,11.0
10774,0,0,0,0,1.0,7.0,23.0,16.0
10754,0,0,0,0,7.0,28.0,32.0,23.0
10120,0,0,0,0,10.0,19.0,16.0,3.0
10790,0,0,0,0,1.0,6.0,6.0,23.0
10323,0,0,0,0,49.0,23.0,9.0,24.0
10728,0,0,0,0,12.516806722689076,16.694117647058825,13.0,25.0
10842,0,0,0,0,16.0,34.0,23.0,12.0
10039,0,0,0,0,12.516806722689076,16.694117647058825,10.0,17.05426356589147
10789,0,0,0,0,8.0,4.0,15.0,30.0
10952,0,0,0,0,8.0,3.0,8.0,25.0
10310,0,0,0,0,5.0,16.0,34.0,24.0
10314,0,0,0,0,1.0,2.0,5.0,8.0
10059,0,0,0,0,1.0,4.0,6.0,15.0
10972,0,0,0,0,12.516806722689076,16.694117647058825,22.843866171003718,4.0
10494,0,0,0,0,4.0,13.0,22.843866171003718,1.0
10464,0,0,0,0,4.0,11.0,25.0,26.0
10722,0,0,0,0,6.0,25.0,13.0,55.0
10673,0,0,0,0,24.0,40.0,113.0,14.0
10692,0,0,0,0,7.0,9.0,7.0,19.0
10479,0,0,0,0,12.516806722689076,16.694117647058825,22.843866171003718,13.0
10680,0,0,0,0,22.0,23.0,12.0,12.0
10793,0,0,0,0,30.0,4.0,19.0,5.0
10070,0,0,0,0,34.0,37.0,59.0,46.0
10136,0,0,0,0,9.0,6.0,13.0,1.0
10307,0,0,0,0,6.0,9.0,41.0,17.0
10849,0,0,0,0,1.0,16.694117647058825,22.843866171003718,17.05426356589147
10714,0,0,0,0,12.516806722689076,1.0,15.0,1.0
10633,0,0,0,0,18.0,8.0,7.0,17.05426356589147
10580,0,0,0,0,2.0,3.0,5.0,8.0
10481,0,0,0,0,45.0,11.0,33.0,14.0
10063,0,0,0,0,21.0,18.0,13.0,9.0
10822,0,0,0,0,2.0,1.0,5.0,2.0
10359,0,0,0,0,23.0,13.0,45.0,14.0
10585,0,0,0,0,12.516806722689076,16.0,9.0,2.0
10801,0,0,0,0,9.0,4.0,29.0,24.0
10299,0,0,0,0,13.0,12.0,4.0,17.0
10350,0,0,0,0,21.0,30.0,24.0,4.0
10362,0,0,0,0,12.0,55.0,46.0,32.0
10237,0,0,0,0,12.516806722689076,1.0,11.0,17.05426356589147
10351,0,0,0,0,1.0,16.694117647058825,22.843866171003718,17.05426356589147
10695,0,0,0,0,4.0,1.0,2.0,1.0
10672,0,0,0,0,1.0,14.0,13.0,15.0
10298,0,0,0,0,11.0,4.0,9.0,17.05426356589147
10086,0,0,0,0,14.0,11.0,14.0,9.0
10913,0,0,0,0,12.516806722689076,16.694117647058825,3.0,17.05426356589147
10432,0,0,0,0,1.0,55.0,37.0,5.0
10290,0,0,0,0,2.0,10.0,8.0,1.0
10107,0,0,0,0,5.0,8.0,6.0,3.0
10969,0,0,0,0,12.516806722689076,1.0,5.0,8.0
10254,0,0,0,0,1.0,28.0,15.0,24.0
10215,0,0,0,0,4.0,18.0,31.0,29.0
10544,0,0,0,0,7.0,21.0,34.0,30.0
10319,0,0,0,0,13.0,7.0,17.0,21.0
10525,0,0,0,0,28.0,26.0,67.0,45.0
10630,0,0,0,0,11.0,28.0,33.0,40.0
10953,0,0,0,0,18.0,23.0,43.0,14.0
10749,0,0,0,0,2.0,1.0,2.0,17.05426356589147
10534,0,0,0,0,17.0,32.0,22.0,15.0
10827,0,0,0,0,12.516806722689076,9.0,5.0,2.0
10798,0,0,0,0,6.0,29.0,5.0,4.0
10514,0,0,0,0,9.0,18.0,23.0,17.05426356589147
10055,0,0,0,0,7.0,20.0,23.0,9.0
10497,0,0,0,0,11.0,72.0,100.0,86.0
10218,0,0,0,0,4.0,19.0,42.0,11.0
10486,0,0,0,0,26.0,16.0,12.0,17.0
10072,0,0,0,0,3.0,9.0,14.0,20.0
10527,0,0,0,0,21.0,28.0,25.0,17.0
10044,0,0,0,0,14.0,15.0,41.0,13.0
10261,0,0,0,0,26.0,40.0,64.0,46.0
10209,0,0,0,0,14.0,24.0,13.0,17.05426356589147
10678,0,0,0,0,23.0,26.0,20.0,31.0
10493,0,0,0,0,2.0,17.0,44.0,4.0
10442,0,0,0,0,12.516806722689076,12.0,18.0,42.0
10277,0,0,0,0,9.0,22.0,43.0,6.0
10423,0,0,0,0,3.0,29.0,25.0,30.0
10231,0,0,0,0,40.0,48.0,84.0,38.0
10718,0,0,0,0,3.0,7.0,36.0,54.0
10947,0,0,0,0,28.0,45.0,72.0,26.0
10757,0,0,0,0,7.0,16.0,4.0,11.0
10660,0,0,0,0,6.0,15.0,12.0,6.0
10655,0,0,0,0,31.0,22.0,35.0,69.0
10309,0,0,0,0,12.516806722689076,12.0,57.0,15.0
10453,0,0,0,0,12.516806722689076,2.0,22.843866171003718,17.05426356589147
10703,0,0,0,0,3.0,16.694117647058825,11.0,2.0
10636,0,0,0,0,37.0,2.0,9.0,3.0
10916,0,0,0,0,14.0,9.0,14.0,17.0
10213,0,0,0,0,11.0,3.0,10.0,17.05426356589147
10482,0,0,0,0,48.0,73.0,67.0,29.0
10060,0,0,0,0,3.0,13.0,11.0,12.0
10687,0,0,0,0,1.0,5.0,20.0,2.0
10713,0,0,0,0,12.516806722689076,16.694117647058825,5.0,17.05426356589147
10429,0,0,0,0,2.0,2.0,5.0,11.0
10139,0,0,0,0,2.0,12.0,14.0,5.0
10781,0,0,0,0,8.0,17.0,15.0,17.05426356589147
10605,0,0,0,0,12.516806722689076,16.694117647058825,1.0,3.0
10280,0,0,0,0,3.0,5.0,13.0,4.0
