id,Analytical thinking,Systemic thinking,Adaptability,Focus
10199,3.0,4.0,4.0,3.0
10539,4.0,4.0,4.0,5.0
10174,4.0,4.0,4.0,5.0
10465,5.0,6.0,5.0,5.0
10066,5.0,6.0,5.0,5.0
10425,5.0,5.0,5.0,5.0
10398,4.0,4.0,5.0,4.0
10346,4.0,4.0,4.0,4.0
10281,5.0,4.0,5.0,5.0
10158,4.0,4.0,5.0,4.0
10877,4.0,5.0,5.0,5.0
10067,4.0,4.0,4.0,4.0
10235,4.0,4.0,5.0,4.0
10767,3.0,4.0,4.0,4.0
10483,4.0,4.0,3.0,4.0
10679,4.0,4.0,5.0,4.0
10076,5.0,4.0,4.0,4.0
10800,6.0,5.0,5.0,5.0
10855,4.0,4.0,5.0,5.0
10706,5.0,5.0,5.0,5.0
10088,3.0,3.0,4.0,4.0
10096,4.0,4.0,5.0,4.0
10643,4.0,4.0,4.0,4.0
10305,5.0,4.0,5.0,5.0
10275,5.0,4.0,5.0,5.0
10759,3.0,3.0,4.0,4.0
10355,4.0,4.0,4.0,5.0
10844,4.0,4.0,4.0,4.0
10693,4.0,4.0,4.0,5.0
10882,3.0,4.0,4.0,3.0
10023,3.0,4.0,4.0,4.0
10030,4.0,4.0,5.0,5.0
10677,4.0,4.0,5.0,5.0
10923,5.0,4.0,5.0,4.0
10405,5.0,4.0,4.0,4.0
10531,5.0,6.0,5.0,5.0
10959,4.0,3.0,5.0,4.0
10294,3.0,3.0,3.0,4.0
10829,4.0,5.0,5.0,4.0
10850,5.0,4.0,5.0,5.0
10259,4.0,3.0,5.0,4.0
10874,4.0,4.0,5.0,5.0
10328,4.0,5.0,5.0,5.0
10333,4.0,4.0,5.0,5.0
10634,4.0,4.0,5.0,4.0
10774,4.0,4.0,4.0,3.0
10754,5.0,6.0,5.0,5.0
10120,4.0,4.0,5.0,4.0
10790,4.0,4.0,4.0,4.0
10323,3.0,3.0,4.0,4.0
10728,6.0,5.0,6.0,4.0
10842,5.0,5.0,4.0,4.0
10039,5.0,4.0,4.0,4.0
10789,4.0,4.0,4.0,5.0
10952,3.0,3.0,4.0,3.0
10310,5.0,4.0,4.0,4.0
10314,5.0,4.0,4.0,5.0
10059,4.0,5.0,5.0,4.0
10972,4.0,3.0,5.0,4.0
10494,4.0,5.0,5.0,4.0
10464,4.0,3.0,4.0,4.0
10722,4.0,4.0,4.0,4.0
10673,3.0,3.0,4.0,4.0
10692,4.0,4.0,5.0,5.0
10479,4.0,4.0,4.0,4.0
10680,4.0,4.0,5.0,4.0
10793,5.0,4.0,5.0,5.0
10070,5.0,4.0,5.0,5.0
10136,5.0,5.0,5.0,5.0
10307,5.0,4.0,5.0,5.0
10849,4.0,4.0,4.0,5.0
10714,5.0,4.0,5.0,4.0
10633,4.0,4.0,4.0,4.0
10580,4.0,4.0,4.0,4.0
10481,5.0,4.0,5.0,4.0
10063,5.0,4.0,5.0,5.0
10822,3.0,4.0,4.0,3.0
10359,4.0,3.0,4.0,5.0
10585,4.0,4.0,5.0,5.0
10801,5.0,4.0,5.0,5.0
10299,4.0,4.0,6.0,5.0
10350,6.0,6.0,5.0,5.0
10362,5.0,4.0,5.0,5.0
10237,4.0,4.0,4.0,4.0
10351,4.0,4.0,4.0,5.0
10695,4.0,5.0,3.0,3.0
10672,5.0,4.0,4.0,5.0
10298,4.0,4.0,4.0,4.0
10086,4.0,4.0,4.0,4.0
10913,4.0,4.0,4.0,4.0
10432,5.0,6.0,6.0,6.0
10290,6.0,5.0,5.0,4.0
10107,6.0,5.0,5.0,4.0
10969,4.0,4.0,4.0,4.0
10254,5.0,5.0,5.0,5.0
10215,5.0,4.0,5.0,5.0
10544,5.0,4.0,5.0,5.0
10319,4.0,4.0,5.0,4.0
10525,5.0,4.0,5.0,5.0
10630,5.0,4.0,5.0,5.0
10953,4.0,4.0,5.0,4.0
10749,4.0,5.0,5.0,4.0
10534,5.0,5.0,4.0,4.0
10827,4.0,4.0,4.0,4.0
10798,5.0,5.0,5.0,5.0
10514,4.0,4.0,5.0,4.0
10055,5.0,4.0,5.0,4.0
10497,4.0,4.0,5.0,5.0
10218,5.0,4.0,4.0,4.0
10486,5.0,4.0,4.0,5.0
10072,4.0,4.0,5.0,5.0
10527,4.0,4.0,5.0,5.0
10044,6.0,6.0,6.0,5.0
10261,5.0,4.0,5.0,5.0
10209,4.0,4.0,4.0,4.0
10678,4.0,4.0,5.0,4.0
10493,5.0,4.0,4.0,4.0
10442,5.0,5.0,5.0,4.0
10277,4.0,4.0,4.0,4.0
10423,4.0,4.0,5.0,4.0
10231,5.0,4.0,5.0,5.0
10718,5.0,4.0,4.0,4.0
10947,6.0,5.0,5.0,5.0
10757,4.0,4.0,4.0,4.0
10660,5.0,4.0,5.0,4.0
10655,5.0,4.0,5.0,5.0
10309,5.0,4.0,5.0,5.0
10453,4.0,4.0,3.0,3.0
10703,4.0,4.0,5.0,5.0
10636,4.0,4.0,4.0,4.0
10916,5.0,4.0,5.0,5.0
10213,4.0,4.0,4.0,4.0
10482,6.0,5.0,5.0,5.0
10060,4.0,4.0,4.0,4.0
10687,4.0,4.0,5.0,4.0
10713,5.0,4.0,5.0,5.0
10429,4.0,5.0,5.0,4.0
10139,5.0,4.0,5.0,4.0
10781,4.0,5.0,5.0,5.0
10605,4.0,3.0,4.0,4.0
10280,4.0,3.0,4.0,4.0
10311,5.0,4.0,4.0,5.0
10615,4.0,4.0,4.0,4.0
10450,3.0,3.0,3.0,4.0
10110,4.0,4.0,4.0,4.0
10622,4.0,4.0,3.0,3.0
10456,5.0,4.0,4.0,4.0
10316,5.0,4.0,5.0,5.0
10891,4.0,4.0,4.0,4.0
10868,4.0,4.0,4.0,3.0
10198,4.0,4.0,5.0,5.0
10377,5.0,4.0,4.0,4.0
10638,4.0,4.0,3.0,3.0
10617,4.0,5.0,5.0,5.0
10559,4.0,4.0,4.0,4.0
10669,4.0,4.0,5.0,4.0
10137,5.0,4.0,5.0,5.0
10332,5.0,4.0,4.0,5.0
10394,4.0,4.0,4.0,4.0
10184,5.0,5.0,4.0,4.0
10881,4.0,4.0,4.0,4.0
10449,5.0,4.0,5.0,5.0
10788,4.0,4.0,4.0,4.0
10168,4.0,4.0,5.0,5.0
10951,4.0,4.0,4.0,4.0
10382,3.0,4.0,4.0,4.0
10696,4.0,4.0,4.0,4.0
10078,5.0,4.0,4.0,4.0
10029,4.0,4.0,4.0,4.0
10260,5.0,5.0,5.0,5.0
10331,4.0,4.0,4.0,4.0
10859,5.0,4.0,4.0,4.0
10626,4.0,4.0,4.0,4.0
10165,4.0,3.0,4.0,4.0
10731,4.0,3.0,4.0,4.0
10898,4.0,5.0,5.0,5.0
10065,4.0,4.0,5.0,5.0
10141,4.0,4.0,5.0,4.0
10210,5.0,4.0,5.0,5.0
10746,5.0,4.0,5.0,4.0
10292,4.0,4.0,4.0,4.0
10847,4.0,4.0,3.0,3.0
10266,4.0,3.0,4.0,3.0
10371,5.0,4.0,5.0,5.0
10810,4.0,4.0,5.0,5.0
10581,4.0,4.0,5.0,5.0
10900,5.0,4.0,5.0,5.0
10049,4.0,4.0,4.0,3.0
10708,4.0,4.0,4.0,4.0
10904,4.0,4.0,5.0,4.0
10490,5.0,5.0,5.0,5.0
10327,4.0,4.0,5.0,5.0
10879,4.0,4.0,4.0,4.0
10521,4.0,4.0,4.0,4.0
10925,4.0,3.0,4.0,4.0
10968,5.0,4.0,5.0,5.0
10365,5.0,4.0,5.0,5.0
10936,4.0,4.0,4.0,4.0
10033,4.0,4.0,4.0,4.0
10031,4.0,4.0,4.0,4.0
10823,4.0,4.0,4.0,4.0
10192,4.0,4.0,5.0,4.0
10312,4.0,4.0,5.0,4.0
10807,5.0,4.0,5.0,4.0
10552,4.0,5.0,5.0,4.0
10558,4.0,3.0,4.0,3.0
10921,5.0,4.0,5.0,5.0
10109,4.0,4.0,5.0,4.0
10440,5.0,4.0,5.0,4.0
10077,5.0,6.0,5.0,5.0
10783,5.0,4.0,5.0,5.0
10542,4.0,4.0,4.0,4.0
10082,4.0,4.0,5.0,4.0
10361,5.0,5.0,6.0,5.0
10485,4.0,4.0,3.0,3.0
10507,5.0,5.0,5.0,5.0
10628,4.0,4.0,5.0,4.0
10500,4.0,4.0,5.0,5.0
10905,4.0,4.0,4.0,4.0
10002,5.0,4.0,5.0,5.0
10101,4.0,4.0,4.0,4.0
10363,3.0,3.0,3.0,4.0
10451,4.0,4.0,4.0,4.0
10286,4.0,4.0,3.0,4.0
10208,5.0,6.0,5.0,5.0
10265,3.0,4.0,4.0,4.0
10005,4.0,4.0,5.0,4.0
10054,6.0,5.0,5.0,5.0
10715,4.0,4.0,6.0,5.0
10848,4.0,3.0,4.0,4.0
10971,4.0,5.0,4.0,4.0
10436,1.0,1.0,3.0,1.0
10097,1.0,1.0,3.0,1.0
10589,4.0,5.0,5.0,4.0
10204,4.0,4.0,4.0,4.0
10244,4.0,5.0,5.0,5.0
10620,4.0,4.0,5.0,5.0
10934,5.0,4.0,5.0,5.0
10519,4.0,3.0,4.0,4.0
10334,5.0,4.0,5.0,5.0
10845,4.0,4.0,4.0,4.0
10025,4.0,4.0,4.0,4.0
10084,5.0,6.0,5.0,5.0
10010,4.0,5.0,5.0,5.0
10635,5.0,4.0,5.0,5.0
10422,5.0,4.0,5.0,5.0
10795,4.0,4.0,4.0,3.0
10357,4.0,4.0,4.0,4.0
10802,5.0,5.0,5.0,5.0
10529,4.0,4.0,4.0,4.0
10468,4.0,4.0,4.0,4.0
10247,4.0,4.0,4.0,4.0
10118,4.0,4.0,4.0,3.0
10342,4.0,4.0,5.0,4.0
10541,4.0,4.0,4.0,4.0
10250,3.0,4.0,4.0,4.0
10318,4.0,4.0,5.0,5.0
10843,5.0,4.0,5.0,5.0
10196,5.0,4.0,5.0,5.0
10588,4.0,4.0,5.0,4.0
10081,4.0,5.0,5.0,5.0
10352,4.0,4.0,5.0,4.0
10583,5.0,4.0,4.0,4.0
10603,4.0,4.0,4.0,4.0
10239,4.0,4.0,4.0,4.0
10761,4.0,4.0,4.0,3.0
10211,4.0,4.0,4.0,4.0
10930,4.0,4.0,4.0,4.0
10963,4.0,3.0,4.0,4.0
10420,4.0,3.0,4.0,4.0
10227,4.0,4.0,5.0,5.0
10833,3.0,3.0,3.0,3.0
10752,4.0,4.0,5.0,4.0
10907,5.0,4.0,4.0,4.0
10743,4.0,4.0,5.0,4.0
10380,5.0,4.0,5.0,4.0
10478,5.0,4.0,4.0,5.0
10439,5.0,4.0,5.0,5.0
10296,4.0,4.0,4.0,4.0
10344,4.0,5.0,4.0,5.0
10007,5.0,4.0,4.0,4.0
10155,3.0,3.0,4.0,3.0
10526,4.0,4.0,5.0,4.0
10411,4.0,4.0,4.0,4.0
10513,5.0,5.0,5.0,4.0
10837,4.0,4.0,5.0,5.0
10758,4.0,4.0,4.0,4.0
10551,4.0,4.0,4.0,5.0
10433,4.0,4.0,4.0,4.0
10893,4.0,4.0,5.0,5.0
10909,4.0,3.0,5.0,4.0
10889,4.0,5.0,3.0,3.0
10613,4.0,5.0,4.0,4.0
