id,Analytical thinking,Systemic thinking,Adaptability,Focus
10199,3,4,4,4
10539,4,4,4,5
10174,4,4,5,4
10465,5,4,5,5
10066,4,5,5,5
10425,4,4,4,4
10398,5,5,5,5
10346,4,4,5,4
10281,5,4,5,5
10158,4,5,3,4
10877,4,4,4,4
10067,4,4,4,4
10235,5,5,5,4
10767,4,4,5,5
10483,4,4,3,4
10679,4,4,4,4
10076,4,4,4,4
10800,5,5,5,5
10855,5,5,5,4
10706,4,5,4,5
10088,4,4,5,5
10096,4,4,5,4
10643,3,1,4,5
10305,4,4,4,4
10275,4,4,4,4
10759,4,4,4,4
10355,4,4,4,4
10844,4,4,5,5
10693,4,4,4,4
10882,5,4,5,4
10023,4,4,4,5
10030,4,4,4,4
10677,4,4,4,5
10923,3,4,3,4
10405,4,5,5,5
10531,4,4,5,5
10959,4,4,5,4
10294,4,4,5,4
10829,4,5,5,4
10850,5,5,6,5
10259,4,4,5,4
10874,4,4,4,4
10328,4,4,4,5
10333,5,4,5,5
10634,4,4,4,4
10774,4,5,4,4
10754,5,4,5,4
10120,4,4,5,4
10790,5,4,5,4
10323,5,4,5,5
10728,5,4,5,5
10842,5,5,4,5
10039,4,4,5,4
10789,5,4,3,4
10952,5,4,3,4
10310,5,4,5,5
10314,4,5,4,4
10059,4,4,4,4
10972,4,4,5,4
10494,4,4,5,4
10464,5,4,5,5
10722,5,4,5,5
10673,3,5,4,4
10692,5,4,5,5
10479,5,4,4,4
10680,4,4,5,5
10793,3,4,3,4
10070,5,4,5,5
10136,4,4,5,5
10307,5,4,5,5
10849,4,4,5,4
10714,5,4,5,4
10633,3,1,4,4
10580,4,4,5,4
10481,3,4,4,4
10063,5,4,4,4
10822,5,4,5,4
10359,4,4,4,5
10585,3,4,4,4
10801,4,5,5,5
10299,4,4,4,4
10350,4,6,4,4
10362,4,4,5,5
10237,4,4,4,4
10351,4,4,5,4
10695,4,4,3,4
10672,4,4,5,5
10298,4,4,5,4
10086,4,4,4,4
10913,4,5,5,5
10432,4,6,5,6
10290,6,4,5,4
10107,3,3,5,4
10969,4,4,4,4
10254,5,5,5,5
10215,4,4,5,4
10544,4,4,4,4
10319,4,4,5,5
10525,6,4,5,5
10630,5,4,4,5
10953,4,4,5,4
10749,4,4,4,4
10534,4,5,4,5
10827,5,4,4,4
10798,4,5,5,4
10514,3,4,3,3
10055,4,4,4,4
10497,4,4,4,4
10218,4,4,5,4
10486,4,5,4,4
10072,4,4,5,4
10527,4,4,5,4
10044,4,3,5,4
10261,5,5,5,5
10209,4,4,4,4
10678,5,4,5,4
10493,4,5,5,5
10442,4,5,4,4
10277,4,1,4,4
10423,4,5,5,5
10231,4,4,5,5
10718,5,4,4,4
10947,5,4,5,4
10757,4,4,4,4
10660,5,5,5,4
10655,4,4,4,3
10309,5,1,6,5
10453,4,4,5,5
10703,6,4,5,4
10636,4,4,4,4
10916,5,4,5,3
10213,4,4,5,4
10482,4,5,5,4
10060,4,4,5,4
10687,4,4,5,4
10713,4,5,4,5
10429,4,5,4,4
10139,4,4,4,4
10781,4,5,5,4
10605,4,4,4,4
10280,4,4,4,4
10311,5,4,5,4
10615,4,4,5,4
10450,4,4,5,4
10110,5,4,4,4
10622,4,4,5,4
10456,4,1,4,4
10316,4,5,5,4
10891,4,4,5,4
10868,4,4,5,4
10198,5,4,5,5
10377,4,4,4,4
10638,4,4,4,4
10617,4,4,5,5
10559,4,4,3,4
10669,5,3,5,4
10137,4,4,5,5
10332,5,4,4,4
10394,4,4,4,5
10184,4,5,4,5
10881,4,4,5,5
10449,1,4,4,4
10788,5,4,5,4
10168,4,4,5,4
10951,4,5,5,5
10382,4,4,4,4
10696,5,4,4,4
10078,5,4,5,5
10029,4,4,4,5
10260,4,4,5,3
10331,4,4,4,4
10859,5,5,5,5
10626,3,1,4,5
10165,4,4,4,4
10731,4,4,4,4
10898,4,4,5,4
10065,5,5,5,5
10141,4,4,5,5
10210,3,1,5,4
10746,4,4,5,4
10292,4,4,4,4
10847,4,4,4,4
10266,4,4,4,5
10371,4,4,5,5
10810,4,4,5,4
10581,4,4,5,5
10900,5,4,4,4
10049,5,4,5,5
10708,4,4,5,4
10904,5,4,5,5
10490,4,4,5,4
10327,4,4,5,5
10879,4,4,5,4
10521,3,4,4,3
10925,4,4,4,4
10968,4,4,4,4
10365,4,5,4,5
10936,4,4,5,4
10033,4,4,4,4
10031,5,4,3,4
10823,4,5,5,4
10192,5,5,5,5
10312,3,4,5,4
10807,4,5,5,4
10552,4,4,5,5
10558,4,4,5,5
10921,4,5,1,5
10109,4,4,5,4
10440,5,4,5,4
10077,4,3,5,5
10783,4,3,5,4
10542,4,4,5,4
10082,4,4,5,4
10361,5,4,5,5
10485,4,4,5,4
10507,4,4,4,4
10628,4,4,5,4
10500,4,4,5,5
10905,5,4,5,4
10002,5,4,4,4
10101,3,4,3,5
10363,4,4,4,4
10451,3,5,4,4
10286,4,4,4,4
10208,4,4,4,4
10265,4,4,4,4
10005,4,4,5,4
10054,4,5,5,4
10715,4,5,4,4
10848,4,4,5,1
10971,4,4,4,5
10436,3,5,3,5
10097,5,4,4,4
10589,4,4,4,4
10204,4,4,4,4
10244,4,5,5,5
10620,5,4,4,5
10934,5,4,5,5
10519,4,4,4,5
10334,5,4,4,4
10845,3,3,4,5
10025,4,4,4,5
10084,4,4,4,4
10010,4,4,4,4
10635,4,4,4,4
10422,4,4,5,4
10795,4,4,5,4
10357,5,4,4,4
10802,4,4,5,4
10529,5,5,5,4
