id,Analytical thinking,Systemic thinking,Adaptability,Focus
10199,4,4,4,5
10539,4,4,5,5
10174,4,4,5,5
10465,5,4,5,5
10066,4,4,5,5
10425,4,4,5,5
10398,4,4,5,5
10346,4,4,5,5
10281,5,4,4,5
10158,4,4,5,5
10877,5,4,5,5
10067,4,4,5,5
10235,5,4,5,4
10767,5,4,5,5
10483,4,4,4,4
10679,4,4,4,4
10076,5,4,5,5
10800,5,4,5,5
10855,4,4,5,4
10706,4,4,5,5
10088,5,4,5,5
10096,4,4,5,5
10643,4,4,4,4
10305,4,4,5,5
10275,4,4,4,4
10759,4,4,5,5
10355,4,4,4,4
10844,5,4,5,5
10693,5,4,5,5
10882,4,4,5,5
10023,5,4,5,5
10030,4,4,5,4
10677,4,4,4,4
10923,4,4,5,5
10405,4,4,5,5
10531,4,4,5,5
10959,4,4,5,5
10294,4,4,5,5
10829,4,4,5,5
10850,5,4,5,5
10259,4,4,5,5
10874,4,4,5,5
10328,5,4,5,5
10333,4,4,5,5
10634,5,4,5,5
10774,5,4,4,5
10754,4,4,5,5
10120,4,4,5,5
10790,4,4,4,5
10323,4,4,4,4
10728,4,4,5,4
10842,4,4,5,5
10039,4,4,5,4
10789,4,4,4,4
10952,4,4,4,4
10310,5,4,5,5
10314,4,4,5,4
10059,4,4,5,5
10972,5,4,5,5
10494,5,4,5,5
10464,4,4,5,5
10722,4,4,5,5
10673,5,4,5,4
10692,4,4,5,5
10479,5,4,5,5
10680,4,4,5,5
10793,3,4,4,4
10070,5,4,5,5
10136,5,4,5,5
10307,5,4,5,5
10849,5,4,5,5
10714,5,4,5,5
10633,4,4,4,4
10580,4,4,5,4
10481,4,4,5,5
10063,4,4,4,5
10822,5,4,5,5
10359,5,4,5,5
10585,4,4,5,5
10801,5,4,5,5
10299,4,4,4,4
10350,4,4,5,5
10362,4,4,5,5
10237,4,4,5,4
10351,5,4,5,5
10695,4,4,4,4
10672,4,4,5,5
10298,4,4,5,4
10086,4,4,5,5
10913,4,4,5,4
10432,4,4,5,5
10290,4,4,5,5
10107,4,4,5,5
10969,4,4,5,4
10254,4,4,5,5
10215,5,4,5,5
10544,5,4,5,5
10319,4,4,5,4
10525,5,4,5,5
10630,4,4,5,5
10953,5,4,5,5
10749,4,4,4,4
10534,4,4,5,5
10827,4,4,4,5
10798,4,4,5,5
10514,5,4,5,5
10055,4,4,5,5
10497,5,4,5,5
10218,5,4,5,5
10486,4,4,4,4
10072,4,4,5,5
10527,4,4,5,5
10044,5,4,5,5
10261,5,4,5,5
10209,4,4,5,5
10678,4,4,5,4
10493,5,5,5,4
10442,4,4,5,4
10277,5,4,5,4
10423,4,4,5,5
10231,5,4,5,5
10718,4,4,5,4
10947,5,4,5,5
10757,4,4,5,5
10660,4,4,5,5
10655,4,4,5,4
10309,5,4,5,4
10453,5,4,5,5
10703,4,4,5,5
10636,4,4,4,4
10916,4,4,5,4
10213,4,4,5,4
10482,5,4,5,5
10060,4,4,5,5
10687,5,5,5,4
10713,4,4,5,5
10429,4,4,4,4
10139,4,4,5,5
10781,4,4,5,5
10605,4,4,4,4
10280,5,4,5,5
10311,5,4,4,5
10615,4,4,5,4
10450,4,4,5,5
10110,4,4,5,5
10622,5,4,5,4
10456,5,4,5,4
10316,5,4,5,5
10891,5,4,5,5
10868,5,4,5,5
10198,4,4,5,4
10377,4,4,5,4
10638,4,4,5,4
10617,5,4,5,5
10559,4,4,4,5
10669,4,4,5,5
10137,5,4,5,4
10332,5,4,5,4
10394,4,4,5,5
10184,4,4,5,5
10881,5,4,5,5
10449,4,4,5,4
10788,4,4,5,5
10168,5,4,5,5
10951,4,4,4,5
10382,4,4,5,5
10696,5,4,5,5
10078,5,5,5,4
10029,5,4,5,4
10260,5,4,5,5
10331,4,4,5,5
10859,5,4,5,5
10626,4,4,4,4
10165,4,4,4,4
10731,4,4,4,4
10898,4,4,5,5
10065,4,4,5,5
10141,4,4,4,5
10210,4,4,4,4
10746,5,4,5,5
10292,4,4,5,5
10847,4,4,5,4
10266,4,4,5,4
10371,5,4,5,5
10810,5,4,5,5
10581,4,4,5,5
10900,4,4,5,5
10049,4,4,4,4
10708,4,4,5,5
10904,4,4,5,4
10490,4,4,5,5
10327,5,4,5,5
10879,4,4,5,5
10521,5,4,5,5
10925,4,4,4,4
10968,5,4,5,4
10365,4,4,5,5
10936,4,4,5,4
10033,5,4,5,5
10031,5,4,5,5
10823,5,4,5,5
10192,5,4,5,5
10312,5,4,5,5
10807,5,4,5,5
10552,5,4,5,5
10558,4,4,5,5
10921,4,4,4,5
10109,4,4,5,4
10440,4,4,5,5
10077,5,4,5,5
10783,4,4,4,4
10542,4,4,5,5
10082,5,4,5,5
10361,4,4,5,5
10485,4,4,5,4
10507,4,4,5,5
10628,4,4,5,5
10500,4,4,5,4
10905,5,4,5,5
10002,5,4,5,5
10101,4,4,5,4
10363,4,4,5,4
10451,5,4,5,5
10286,4,4,4,4
10208,4,4,5,5
10265,5,4,5,5
10005,4,4,5,5
10054,5,4,5,5
10715,4,4,5,4
10848,4,4,4,5
10971,4,4,5,4
10436,4,4,5,5
10097,4,5,4,5
10589,5,4,5,5
10204,4,4,5,4
10244,4,4,5,5
10620,5,4,4,5
10934,5,4,5,5
10519,4,4,4,4
10334,4,4,4,5
10845,4,4,4,4
10025,4,4,4,4
10084,5,4,5,5
10010,4,4,5,5
10635,5,4,5,5
10422,5,4,5,5
10795,5,4,5,5
10357,5,4,5,5
10802,4,4,5,4
10529,4,4,5,5
10468,5,4,4,5
10247,5,4,5,5
10118,5,4,5,5
10342,5,4,5,5
10541,5,4,5,5
10250,4,4,4,4
10318,4,4,5,5
10843,5,4,5,5
10196,4,4,5,5
10588,4,4,4,4
10081,5,4,5,5
10352,4,4,5,5
10583,4,4,5,4
10603,5,4,5,5
10239,5,4,5,5
10761,5,4,5,5
10211,5,4,5,5
10930,5,4,5,5
10963,4,4,5,5
10420,4,4,4,4
10227,4,4,5,4
10833,4,4,5,5
10752,5,4,5,5
10907,5,4,5,5
10743,4,4,4,4
10380,4,4,5,5
10478,4,4,4,4
10439,5,4,5,5
10296,5,4,5,5
10344,4,4,5,5
10007,5,4,5,5
10155,4,4,5,4
10526,4,4,5,4
10411,5,4,5,4
10513,4,4,5,5
10837,5,4,5,5
10758,5,5,5,4
10551,4,4,5,4
10433,4,4,4,4
10893,4,4,5,5
10909,4,4,5,5
10889,4,4,4,5
10613,5,4,5,5
