id,Analytical thinking,Systemic thinking,Adaptability,Focus
10199,3.0,3.0,4.0,4.0
10539,4.0,4.0,4.0,5.0
10174,4.0,4.0,5.0,4.0
10465,5.0,4.0,5.0,5.0
10066,4.0,4.0,5.0,5.0
10425,4.0,4.0,5.0,4.0
10398,4.0,4.0,5.0,4.0
10346,5.0,4.0,4.0,4.0
10281,4.0,4.0,4.0,4.0
10158,4.0,4.0,4.0,4.0
10877,4.0,4.0,5.0,4.0
10067,4.0,4.0,4.0,4.0
10235,5.0,4.0,4.0,5.0
10767,3.0,4.0,4.0,5.0
10483,5.0,4.0,1.0,3.0
10679,4.0,4.0,4.0,5.0
10076,4.0,3.0,5.0,5.0
10800,4.0,4.0,5.0,4.0
10855,5.0,5.0,5.0,3.0
10706,4.0,5.0,4.0,4.0
10088,5.0,4.0,5.0,5.0
10096,4.0,5.0,5.0,4.0
10643,1.0,5.0,4.0,5.0
10305,5.0,5.0,5.0,4.0
10275,5.0,4.0,4.0,4.0
10759,5.0,4.0,5.0,4.0
10355,4.0,4.0,3.0,4.0
10844,5.0,4.0,5.0,4.0
10693,4.0,4.0,4.0,4.0
10882,4.0,4.0,4.0,4.0
10023,4.0,5.0,3.0,1.0
10030,5.0,5.0,4.0,5.0
10677,4.0,4.0,4.0,4.0
10923,5.0,5.0,5.0,4.0
10405,6.0,4.0,5.0,5.0
10531,4.0,4.0,5.0,4.0
10959,4.0,4.0,5.0,5.0
10294,4.0,4.0,4.0,5.0
10829,5.0,4.0,5.0,5.0
10850,5.0,5.0,6.0,4.0
10259,6.0,4.0,5.0,5.0
10874,4.0,4.0,4.0,4.0
10328,4.0,4.0,4.0,4.0
10333,4.0,5.0,6.0,5.0
10634,4.0,4.0,4.0,4.0
10774,5.0,4.0,4.0,4.0
10754,4.0,5.0,5.0,4.0
10120,3.0,4.0,5.0,5.0
10790,5.0,4.0,4.0,5.0
10323,4.0,5.0,5.0,4.0
10728,4.0,4.0,5.0,4.0
10842,5.0,4.0,4.0,4.0
10039,4.0,4.0,5.0,4.0
10789,4.0,5.0,4.0,5.0
10952,4.0,5.0,4.0,4.0
10310,4.0,5.0,5.0,5.0
10314,4.0,4.0,4.0,3.0
10059,5.0,4.0,5.0,4.0
10972,4.0,4.0,3.0,4.0
10494,4.0,5.0,5.0,4.0
10464,4.0,4.0,4.0,4.0
10722,5.0,3.0,5.0,5.0
10673,4.0,4.0,5.0,5.0
